wpPostId,title,slug,url,parentId,mimeType,width,height,attachedFile
323,w_NoEsManera,w_noesmanera,https://editoriallarueca.com/wp-content/uploads/w_NoEsManera.jpg,,image/jpeg,1417,1984,w_NoEsManera.jpg
325,2w_EsaNoEsManera,2w_esanoesmanera,https://editoriallarueca.com/wp-content/uploads/2w_EsaNoEsManera.jpg,,image/jpeg,1417,1984,2w_EsaNoEsManera.jpg
328,W_ComerBien,w_comerbien,https://editoriallarueca.com/wp-content/uploads/W_ComerBien.jpg,,image/jpeg,1417,2052,W_ComerBien.jpg
407,Amazon,amazon,https://editoriallarueca.com/wp-content/uploads/Amazon.png,,image/png,583,360,Amazon.png
409,Logo_Amazon,logo_amazon,https://editoriallarueca.com/wp-content/uploads/Logo_Amazon.png,,image/png,550,700,Logo_Amazon.png
461,w_Puzzle,w_puzzle,https://editoriallarueca.com/wp-content/uploads/w_Puzzle.jpg,,image/jpeg,1417,2124,w_Puzzle.jpg
462,W_ComerBien,w_comerbien-2,https://editoriallarueca.com/wp-content/uploads/W_ComerBien-1.jpg,,image/jpeg,482,698,W_ComerBien-1.jpg
463,W_ComerBien,w_comerbien-3,https://editoriallarueca.com/wp-content/uploads/W_ComerBien-2.jpg,,image/jpeg,482,698,W_ComerBien-2.jpg
466,w_Profundidad,w_profundidad,https://editoriallarueca.com/wp-content/uploads/w_Profundidad.tif,,,,,w_Profundidad.tif
467,w_Profundidad,w_profundidad-2,https://editoriallarueca.com/wp-content/uploads/w_Profundidad.jpg,,image/jpeg,1417,1984,w_Profundidad.jpg
469,AF_CubOK_CRUCE DE PASOS 3ª edición (CMYK),af_cubok_cruce-de-pasos-3a-edicion-cmyk,https://editoriallarueca.com/wp-content/uploads/w_CRUCE-DE-PASOS-3a-edicion-CMYK.jpg,,image/jpeg,1772,2272,w_CRUCE-DE-PASOS-3a-edicion-CMYK.jpg
480,RRSS_Canteria,rrss_canteria,https://editoriallarueca.com/wp-content/uploads/w_Canteria-1.jpg,,image/jpeg,1761,2560,w_Canteria-1-scaled.jpg
483,W_CarlosRios,w_carlosrios,https://editoriallarueca.com/wp-content/uploads/W_CarlosRios.tif,,,,,W_CarlosRios.tif
